"collection title","accession id","accession date"
"Allen, Sue and Greer. Collection","gwstjc1jzzfk9","2015-01-27"
"Amberg, Alan, Gay History Collection. Digital Collection","jnmvw164drv6c","2012-11-12"
"American Association for Public Opinion Research. Records","hg2t9mx37x6zn","2013-12-09"
"American Association for Public Opinion Research. Records","g8gffpvg1g1d9","2013-12-17"
"American Association for Public Opinion Research. Records","4sd58104j8r6w","2014-12-01"
"American Association for Public Opinion Research. Records","1hx66z7rr3fjg","2015-02-12"
"American Association for Public Opinion Research. Records","0109jsfrztdcf","2015-09-29"
"American Environmental Photographs. Digital Collection","acq6q9q0t50","2008-03-19"
"American Recipes. Digital Collection","ac62b2x158k","2011-03-29"
"Anania, Michael. Digital Collection","zcnsv73v9482n","2012-11-12"
"Anastaplo, George. Papers","b46qm824q9fg5","2014-05-16"
"Anastaplo, George. Papers","5wkj5tfc8mf7m","2015-02-05"
"Anders, Edward. Papers","g9cmp99trrkbj","2015-02-06"
"Anderson, William H. and the Anti-Saloon League. Digital Collection","acp2w18638n","2011-03-29"
"Archicofradía del Santísimo Sacramento y Caridad. Digital Collection","f6f9vmkgpvtw1","2011-09-13"
"Archival Monographs. Digital Collection","q0sv101h5j954","2012-03-28"
"Archival Photographic Files Series II, II Addenda, III and IV Metadata [obsolete]","ac000000001","2008-04-03"
"Archival Photographic Files [obsolete]","ac37k748g5t","2008-03-19"
"Archival Photographic Files, Series: II [obsolete]","ac39k16692f","2008-03-19"
"Archival Photographic Files, Series: VI  [obsolete]","acq2s1k561r","2010-12-14"
"Audio Collection, Cassettes. Digital Collection ","sg7sk74gdfpf1","2012-11-12"
"Audio Collection, Cassettes. Digital Collection ","d20xq4zgw0kjg","2014-04-24"
"Audio Collection, Harper Tapes. Digital Collection ","zvzhx8f385ts1","2012-11-12"
"Audio Collection, Harper Tapes. Digital Collection ","xsszvf745d4bs","2014-09-23"
"Audio Collection, Office of Radio and Television, Conversations at Chicago. Digital Collection ","jsn8n2g1tfc04","2012-09-20"
"Audio Collection, Office of Radio and Television, Conversations at Chicago. Digital Collection ","s8v75fkh6wmjf","2012-11-07"
"Audio Collection, Office of Radio and Television, From the Midway. Digital Collection","mcdw38tw5rnnx","2012-09-25"
"Audio Collection, Office of Radio and Television, From the Midway. Digital Collection","1f36sths5qqc2","2013-08-28"
"Audio Collection, Office of Radio and Television, From the Midway. Digital Collection","w1scq55t5qvnd","2014-09-23"
"Audio Collection, Office of Radio and Television, From the Midway. Digital Collection","ms8rnx1z2c93s","2015-09-14"
"Audio Collection, Reel Tapes. Digital Collection","06fwk0pg11v7b","2012-11-12"
"Audio Collection, Wire Recordings. Digital Collection ","47mc2b2h629pn","2012-11-12"
"Austen, Ralph. Papers","xpgx1bt2n50s7","2014-06-26"
"Bakwin, Dr. Harry and Dr. Ruth Morris Bakwin. Soviet Posters. Digital Collection","r94w93dw5ncv2","2012-11-27"
"Baldwin, Loammi. Digital Collection","act0g8f4m4f","2011-03-29"
"Beck, Robert. Papers","sd6x0wsrs148x","2014-12-30"
"Beck, Robert. Papers","dcqnv0whd3fkv","2015-09-30"
"Bekker, Immanuel. Digital Collection","s7tt6hd03r7fc","2011-09-19"
"Bellow, Saul. Digital Collection","3b4gj9sbjwsnt","2012-12-12"
"Bertola, Wayne. Collection","1p9dtkxz86fq0","2013-09-09"
"Bogue, Donald J. Papers","mtz731rccspmh","2015-01-27"
"Bogue, Donald J. Papers","zjc2thq1r6w9f","2015-01-28"
"Brainerd, Mary Bowen. Digital Collection","xtpbs9b10stbm","2011-09-19"
"Browning, Don. Papers","h09rqc97p7fn0","2015-01-28"
"Browning, Don. Papers","tp8gt1f7hs43f","2015-09-18"
"Butler-Gunsaulus. Digital Collection","mjgv7cd59tqdt","2013-04-08"
"Caballero, Fernan. Digital Collection","znswmhzbtz867","2011-10-31"
"Camille, Michael. Papers","xv93p5w640729","2015-02-09"
"Camille, Michael. Papers","dgr2rq782s1dh","2015-08-27"
"Campus Publications Digital Collection","mr4bj958qs5dc","2011-06-10"
"Campus Publications Digital Collection","j7nt8hx3hwzd5","2011-06-10"
"Campus Publications Digital Collection","2s71kqkg89fgq","2011-06-15"
"Campus Publications Digital Collection","6v70z39j9vgc2","2011-06-16"
"Campus Publications Digital Collection","cfjgj31g02gg0","2011-06-20"
"Campus Publications Digital Collection","fqr6nc9bvzmb1","2011-06-23"
"Campus Publications Digital Collection","5gcq3n8pxjzsw","2011-07-21"
"Campus Publications Digital Collection","psccz8dqk3c2d","2011-07-25"
"Campus Publications Digital Collection","t6ggdbf3fgdk2","2011-07-25"
"Campus Publications Digital Collection","j7w806c9xbsb0","2011-07-25"
"Campus Publications Digital Collection","2036zz1q99cp6","2011-07-26"
"Campus Publications Digital Collection","56pk8ggqvqs2v","2011-07-26"
"Campus Publications Digital Collection","kz8zsx188hzr3","2011-07-26"
"Campus Publications Digital Collection","n4cg28cnz5sc3","2011-07-26"
"Campus Publications Digital Collection","7d331rcvjncrr","2011-07-27"
"Campus Publications Digital Collection","r089znx8pc4fm","2011-11-21"
"Campus Publications Digital Collection","pr9fjs2dtn4pj","2012-01-25"
"Campus Publications Digital Collection","xg33bt6bk3k7s","2012-02-09"
"Campus Publications Digital Collection","0wh19dztggpd8","2011-12-12"
"Campus Publications Digital Collection","j4r6schrjnv62","2012-09-18"
"Campus Publications Digital Collection","jwpmn1p86szg7","2012-11-13"
"Campus Publications Digital Collection","nfgwxqrv2m4rr","2012-11-27"
"Campus Publications Digital Collection","8sm8f7n01m3k5","2012-12-04"
"Campus Publications Digital Collection","17w1z2v4fjcz0","2013-03-06"
"Campus Publications Digital Collection","vbd22dxrxr5xw","2013-03-28"
"Campus Publications Digital Collection","t8xzfqfx07k74","2013-04-26"
"Campus Publications Digital Collection","8rvz3dbzd3s2j","2013-07-15"
"Campus Publications Digital Collection","9xbpbx4z3s0v3","2013-07-15"
"Campus Publications Digital Collection","s9gx23kjrzvh8","2014-01-21"
"Campus Publications Digital Collection","bqrhbgxr1tp4x","2014-01-21"
"Campus Publications Digital Collection","wf13zxt7k408j","2015-02-04"
"Campus Publications Digital Collection","4bhmpwjcnfsc5","2015-06-29"
"Campus Publications Digital Collection","16r5hf53f045t","2015-07-27"
"Campus Publications Digital Collection","fqpgj2vbd5jv6","2015-07-27"
"Campus Publications Digital Collection","wh503589sj5hh","2015-08-06"
"Campus Publications Digital Collection","hpctwgwbd4kkb","2015-08-24"
"Campus Publications Digital Collection","zw4xczwm89dkq","2015-09-08"
"Campus Publications Digital Collection","gfvv98j8j5wcn","2015-09-08"
"Campus Publications Digital Collection","jsrfb0tc9tvff","2015-09-11"
"Campus Publications Digital Collection","2mn4w1c38cq4t","2015-09-22"
"Campus Publications Digital Collection","5k6f554szkjtp","2015-09-22"
